clip_name,frame_number,best_reference_cycle_index,best_reference_phase_index,best_similarity,dissimilarity_score,threshold,is_anomalous
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,0,5,0,0.5858008861541748,0.4141991138458252,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,0,3,1,0.37521296739578247,0.6247870326042175,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,0,6,2,0.07204142957925797,0.927958570420742,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,4,0,0.5839734673500061,0.4160265326499939,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,3,1,0.3729361593723297,0.6270638406276703,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,6,2,0.07412149757146835,0.9258785024285316,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,2,4,0,0.58182293176651,0.41817706823349,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,2,3,1,0.3751767873764038,0.6248232126235962,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,2,6,2,0.07742642611265182,0.9225735738873482,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,3,5,0,0.5855695605278015,0.4144304394721985,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,3,3,1,0.3772505819797516,0.6227494180202484,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,3,6,2,0.074870266020298,0.925129733979702,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,4,4,0,0.5884807109832764,0.41151928901672363,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,4,3,1,0.3775765001773834,0.6224234998226166,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,4,6,2,0.07213497161865234,0.9278650283813477,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,5,4,0,0.5861573815345764,0.4138426184654236,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,5,3,1,0.3757506012916565,0.6242493987083435,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,5,6,2,0.07234297692775726,0.9276570230722427,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,6,4,0,0.5866763591766357,0.41332364082336426,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,6,3,1,0.37797534465789795,0.622024655342102,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,6,6,2,0.07430382072925568,0.9256961792707443,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,7,5,0,0.5899931788444519,0.4100068211555481,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,7,3,1,0.3809592127799988,0.6190407872200012,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,7,6,2,0.07539041340351105,0.924609586596489,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,8,4,0,0.5950258374214172,0.40497416257858276,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,8,3,1,0.3816286027431488,0.6183713972568512,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,8,6,2,0.07504312694072723,0.9249568730592728,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,9,4,0,0.5916664600372314,0.40833353996276855,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,9,3,1,0.380241334438324,0.619758665561676,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,9,6,2,0.07553666830062866,0.9244633316993713,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,10,4,0,0.5880582928657532,0.4119417071342468,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,10,3,1,0.382657527923584,0.617342472076416,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,10,6,2,0.07865322381258011,0.9213467761874199,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,11,5,0,0.5927260518074036,0.40727394819259644,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,11,3,1,0.3844379186630249,0.6155620813369751,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,11,6,2,0.08097594976425171,0.9190240502357483,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,12,4,0,0.5917659997940063,0.40823400020599365,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,12,3,1,0.38292673230171204,0.617073267698288,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,12,6,2,0.08419279009103775,0.9158072099089622,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,13,4,0,0.5928149819374084,0.40718501806259155,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,13,3,1,0.3838394284248352,0.6161605715751648,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,13,6,2,0.08465966582298279,0.9153403341770172,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,14,5,0,0.5920132398605347,0.40798676013946533,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,14,3,1,0.38905495405197144,0.6109450459480286,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,14,6,2,0.08455613255500793,0.9154438674449921,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,15,5,0,0.5993032455444336,0.4006967544555664,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,15,3,1,0.3923805058002472,0.6076194941997528,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,15,6,2,0.08328664302825928,0.9167133569717407,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,16,5,0,0.5994252562522888,0.4005747437477112,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,16,3,1,0.39074862003326416,0.6092513799667358,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,16,6,2,0.08344750106334686,0.9165524989366531,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,17,5,0,0.598148763179779,0.40185123682022095,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,17,3,1,0.390816867351532,0.609183132648468,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,17,6,2,0.08553794026374817,0.9144620597362518,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,18,5,0,0.5984210968017578,0.4015789031982422,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,18,3,1,0.39381176233291626,0.6061882376670837,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,18,6,2,0.08857394009828568,0.9114260599017143,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,19,5,0,0.6030247807502747,0.39697521924972534,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,19,3,1,0.39555811882019043,0.6044418811798096,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,19,6,2,0.08941499888896942,0.9105850011110306,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,20,4,0,0.6028948426246643,0.3971051573753357,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,20,3,1,0.39358600974082947,0.6064139902591705,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,20,6,2,0.09213718771934509,0.9078628122806549,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,21,4,0,0.6027005910873413,0.3972994089126587,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,21,3,1,0.3960837125778198,0.6039162874221802,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,21,6,2,0.08963177353143692,0.9103682264685631,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,22,5,0,0.6057922840118408,0.3942077159881592,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,22,3,1,0.4001311957836151,0.5998688042163849,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,22,6,2,0.0900021344423294,0.9099978655576706,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,23,5,0,0.606768786907196,0.39323121309280396,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,23,3,1,0.3979458808898926,0.6020541191101074,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,23,6,2,0.09066350013017654,0.9093364998698235,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,24,5,0,0.6069644093513489,0.3930355906486511,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,24,3,1,0.39300671219825745,0.6069932878017426,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,24,6,2,0.09603369981050491,0.9039663001894951,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,25,5,0,0.6071910262107849,0.3928089737892151,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,25,3,1,0.39601758122444153,0.6039824187755585,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,25,6,2,0.09609123319387436,0.9039087668061256,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,26,5,0,0.6090203523635864,0.3909796476364136,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,26,3,1,0.40011024475097656,0.5998897552490234,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,26,1,2,0.09771358221769333,0.9022864177823067,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,27,5,0,0.611354649066925,0.38864535093307495,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,27,3,1,0.39829209446907043,0.6017079055309296,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,27,1,2,0.10021921992301941,0.8997807800769806,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,28,5,0,0.6105665564537048,0.38943344354629517,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,28,3,1,0.3947490453720093,0.6052509546279907,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,28,1,2,0.1043316051363945,0.8956683948636055,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,29,5,0,0.6090467572212219,0.3909532427787781,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,29,3,1,0.39737337827682495,0.602626621723175,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,29,1,2,0.1093016043305397,0.8906983956694603,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,30,5,0,0.612429678440094,0.387570321559906,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,30,3,1,0.398160457611084,0.601839542388916,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,30,1,2,0.1142333373427391,0.8857666626572609,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,31,5,0,0.6125783920288086,0.3874216079711914,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,31,3,1,0.39565321803092957,0.6043467819690704,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,31,1,2,0.11644215881824493,0.8835578411817551,0.23319601133433238,True
