clip_name,event_start_frame,phase_export_order,frame_number,expected_frame_number,best_reference_phase_index,best_similarity,dissimilarity_score,threshold,is_anomalous,clip_is_anomalous,image_path
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,111,0,125,125,0,0.34533634781837463,0.6546636521816254,0.23319601133433238,True,True,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\sliding_entry_scan\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\sliding_order_00_phase_00_frame_000125_score_0.6547.jpg
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,111,1,152,152,1,0.08945108205080032,0.9105489179491997,0.23319601133433238,True,True,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\sliding_entry_scan\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\sliding_order_01_phase_01_frame_000152_score_0.9105.jpg
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,111,2,179,179,2,-0.1745365560054779,1.174536556005478,0.23319601133433238,True,True,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\sliding_entry_scan\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\sliding_order_02_phase_02_frame_000179_score_1.1745.jpg
