clip_name,cycle_index,original_phase_index,phase_start_frame,phase_end_frame,frame_number,image_path,dissimilarity_score
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,437,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000437.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,438,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000438.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,439,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000439.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,440,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000440.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,441,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000441.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,442,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000442.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,443,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000443.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,444,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000444.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,445,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000445.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,446,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000446.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,447,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000447.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,448,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000448.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,449,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000449.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,450,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000450.jpg,0.9281862139701843
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,1,2,423,451,451,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\motion_detection\phase_aware_entry_ncc_output\anomalous_phase_frames\cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop\cycle_001_phase_02_frame_000451.jpg,0.9281862139701843
