video_name,video_timestamp,detected_cycles,aligned_phase_zero_source,keyframe_original_phase_mode,keyframe_ncc_score_median,keyframe_ncc_margin_median,candidate_cycles,accepted_keyframes,rejected_keyframes,rejected_low_score_count,rejected_low_margin_count,rejected_ncc_score_median,rejected_ncc_margin_median,min_keyframe_ncc_score,min_keyframe_ncc_margin,exported_frames,valid_measurements,overlay_frames_saved,export_frame_scope,phase_selection_method,status,error
cortexvpu-01a-005-41884872_2026-06-19_14-01-13_904907.ts,2026-06-19T14:01:13.904907,,,,,,,0,,,,,,,,0,0,0,not_exported,direct_reference_frame_ncc_within_detected_cycle,failed,<method 'read' of 'cv2.VideoCapture' objects> returned a result with an exception set
cortexvpu-01a-005-41884872_2026-06-19_14-03-09_910258.ts,2026-06-19T14:03:09.910258,,,,,,,0,,,,,,,,0,0,0,not_exported,direct_reference_frame_ncc_within_detected_cycle,failed,"OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\alloc.cpp:73: error: (-4:Insufficient memory) Failed to allocate 5760000 bytes in function 'cv::OutOfMemoryError'
"
