group_id,raw_detection_number_in_group,raw_video_name,raw_stop_start_time,raw_stop_end_time,raw_interval_seconds,seconds_from_group_start,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group
26,1,cortexvpu-01a-005-41884872_2026-06-19_02-27-34_409488.ts,2026-06-19 03:27:37.093333333,2026-06-19 03:27:44.375555556,7.282222,0.0,2026-06-19 03:27:37.093333333,2026-06-19 03:27:44.375555556,7.282222223,1
27,1,cortexvpu-01a-005-41884872_2026-06-19_02-28-45_481007.ts,2026-06-19 03:28:48.061111111,2026-06-19 03:28:49.092222222,1.031111,0.0,2026-06-19 03:28:48.061111111,2026-06-19 03:28:49.092222222,1.031111111,1
28,1,cortexvpu-01a-005-41884872_2026-06-19_02-29-54_735489.ts,2026-06-19 03:29:55.063333333,2026-06-19 03:29:56.416666667,1.3533330000000001,0.0,2026-06-19 03:29:55.063333333,2026-06-19 03:29:56.416666667,1.353333334,1
29,1,cortexvpu-01a-005-41884872_2026-06-19_02-31-03_489790.ts,2026-06-19 03:31:49.432222222,2026-06-19 03:32:02.933333333,13.501111,0.0,2026-06-19 03:31:49.432222222,2026-06-19 03:32:02.933333333,13.501111111,1
30,1,cortexvpu-01a-005-41884872_2026-06-19_02-32-14_441377.ts,2026-06-19 03:32:19.864444444,2026-06-19 03:32:21.411111111,1.546666,0.0,2026-06-19 03:32:19.864444444,2026-06-19 03:32:21.411111111,1.546666667,1
31,1,cortexvpu-01a-005-41884872_2026-06-19_02-36-39_544404.ts,2026-06-19 03:37:45.667777778,2026-06-19 03:37:50.662222222,4.994444,0.0,2026-06-19 03:37:45.667777778,2026-06-19 03:37:50.662222222,4.994444444,1
32,1,cortexvpu-01a-005-41884872_2026-06-19_02-37-50_509624.ts,2026-06-19 03:37:53.061111111,2026-06-19 03:37:55.220000000,2.158888,0.0,2026-06-19 03:37:53.061111111,2026-06-19 03:37:55.220000000,2.158888889,1
33,1,cortexvpu-01a-005-41884872_2026-06-19_02-42-36_499681.ts,2026-06-19 03:43:47.243333333,2026-06-19 03:43:47.694444444,0.451111,0.0,2026-06-19 03:43:47.243333333,2026-06-19 03:43:47.694444444,0.451111111,1
34,1,cortexvpu-01a-005-41884872_2026-06-19_02-43-47_579287.ts,2026-06-19 03:43:50.834444444,2026-06-19 03:43:52.703333333,1.868888,0.0,2026-06-19 03:43:50.834444444,2026-06-19 03:43:52.703333333,1.868888889,1
35,1,cortexvpu-01a-005-41884872_2026-06-19_02-47-20_692052.ts,2026-06-19 03:48:05.530000000,2026-06-19 03:48:13.875555556,8.345555,0.0,2026-06-19 03:48:05.530000000,2026-06-19 03:48:13.875555556,8.345555556,1
36,1,cortexvpu-01a-005-41884872_2026-06-19_02-48-31_422348.ts,2026-06-19 03:48:35.640000000,2026-06-19 03:48:36.961111111,1.321111,0.0,2026-06-19 03:48:35.640000000,2026-06-19 03:48:36.961111111,1.321111111,1
37,1,cortexvpu-01a-005-41884872_2026-06-19_02-53-44_674871.ts,2026-06-19 03:53:51.604444444,2026-06-19 03:54:06.265555556,14.661111,0.0,2026-06-19 03:53:51.604444444,2026-06-19 03:54:06.265555556,14.661111112,1
38,1,cortexvpu-01a-005-41884872_2026-06-19_02-54-55_103222.ts,2026-06-19 03:54:59.511111110,2026-06-19 03:55:00.928888889,1.417777,0.0,2026-06-19 03:54:59.511111110,2026-06-19 03:55:00.928888889,1.417777779,1
39,1,cortexvpu-01a-005-41884872_2026-06-19_02-56-03_603205.ts,2026-06-19 03:56:06.061111111,2026-06-19 03:56:07.575555556,1.5144440000000001,0.0,2026-06-19 03:56:06.061111111,2026-06-19 03:56:07.575555556,1.514444445,1
