extracted_stop_id,stop_time,stop_end_time,source_detection_count,source_first_video_name,source_last_video_name,Time,Period,Type,Operator,Time type,Time.1,Group,Reason 1,Reason 2,Reason 3,Reason 4,Product,Batch,Bulk,Order,harford_original_time,harford_time,harford_stop_id,harford_duration_minutes,matched_harford_stop,time_difference_seconds,absolute_time_difference_seconds
15,2026-06-19 04:39:06.007777778,2026-06-19 04:39:09.745555556,1,cortexvpu-01a-005-41884872_2026-06-19_03-38-15_886285.ts,cortexvpu-01a-005-41884872_2026-06-19_03-38-15_886285.ts,,,,,,,,,,,,,,,,,,,,False,,
16,2026-06-19 04:51:18.187777778,2026-06-19 04:51:25.083333333,1,cortexvpu-01a-005-41884872_2026-06-19_03-50-44_016667.ts,cortexvpu-01a-005-41884872_2026-06-19_03-50-44_016667.ts,,,,,,,,,,,,,,,,,,,,False,,
17,2026-06-19 04:53:16.050000000,2026-06-19 04:53:22.268888889,1,cortexvpu-01a-005-41884872_2026-06-19_03-53-03_022603.ts,cortexvpu-01a-005-41884872_2026-06-19_03-53-03_022603.ts,2026-06-19 04:54:30.843000,04:54:30 - 04:55:16,DB,Jean Cairns,Machine,0:00:46,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 04:54:30.843,2026-06-19 04:54:30.843,103.0,0.7666666666666667,True,74.793,74.793
18,2026-06-19 05:08:11.188888889,2026-06-19 05:08:20.501111110,1,cortexvpu-01a-005-41884872_2026-06-19_04-07-09_050920.ts,cortexvpu-01a-005-41884872_2026-06-19_04-07-09_050920.ts,,,,,,,,,,,,,,,,,,,,False,,
19,2026-06-19 05:11:17.251111111,2026-06-19 05:11:21.633333333,1,cortexvpu-01a-005-41884872_2026-06-19_04-10-42_180428.ts,cortexvpu-01a-005-41884872_2026-06-19_04-10-42_180428.ts,,,,,,,,,,,,,,,,,,,,False,,
20,2026-06-19 05:14:33.624444444,2026-06-19 05:14:49.864444444,1,cortexvpu-01a-005-41884872_2026-06-19_04-14-15_009330.ts,cortexvpu-01a-005-41884872_2026-06-19_04-14-15_009330.ts,2026-06-19 05:15:14.711000,05:15:14 - 05:15:42,DB,Jean Cairns,Machine,0:00:28,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 05:15:14.711,2026-06-19 05:15:14.711,107.0,0.4666666666666667,True,41.086555556,41.086555556
21,2026-06-19 05:30:04.527777778,2026-06-19 05:30:12.937777778,1,cortexvpu-01a-005-41884872_2026-06-19_04-29-17_198079.ts,cortexvpu-01a-005-41884872_2026-06-19_04-29-17_198079.ts,2026-06-19 05:30:25.440000,05:30:25 - 05:30:48,DB,Jean Cairns,Machine,0:00:23,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 05:30:25.440,2026-06-19 05:30:25.440,108.0,0.38333333333333336,True,20.912222222,20.912222222
22,2026-06-19 05:37:42.055555556,2026-06-19 05:37:48.822222222,1,cortexvpu-01a-005-41884872_2026-06-19_04-37-34_180410.ts,cortexvpu-01a-005-41884872_2026-06-19_04-37-34_180410.ts,,,,,,,,,,,,,,,,,,,,False,,
23,2026-06-19 05:43:57.516666666,2026-06-19 05:44:02.962222222,1,cortexvpu-01a-005-41884872_2026-06-19_04-43-29_313721.ts,cortexvpu-01a-005-41884872_2026-06-19_04-43-29_313721.ts,,,,,,,,,,,,,,,,,,,,False,,
24,2026-06-19 05:56:42.141111111,2026-06-19 05:56:55.964444444,1,cortexvpu-01a-005-41884872_2026-06-19_04-56-24_384143.ts,cortexvpu-01a-005-41884872_2026-06-19_04-56-24_384143.ts,,,,,,,,,,,,,,,,,,,,False,,
25,2026-06-19 06:06:35.997777778,2026-06-19 06:06:42.571111111,1,cortexvpu-01a-005-41884872_2026-06-19_05-05-36_382241.ts,cortexvpu-01a-005-41884872_2026-06-19_05-05-36_382241.ts,2026-06-19 06:07:06.916000,06:07:06 - 06:07:15,DB,Jean Cairns,Machine,0:00:09,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 06:07:06.916,2026-06-19 06:07:06.916,112.0,0.15,True,30.918222222,30.918222222
