harford_stop_id,harford_stop_start_time,harford_stop_end_time,harford_duration_seconds,harford_duration_minutes,grouped_starts_inside_harford_duration,grouped_intervals_overlapping_harford_duration,nearest_grouped_stop_id,nearest_grouped_stop_start_time,signed_seconds_from_harford_start_to_nearest_grouped_start,absolute_seconds_from_harford_start_to_nearest_grouped_start
107,2026-06-19 05:15:14.711,2026-06-19 05:15:42.711,28.0,0.4666666666666667,0,0,64,2026-06-19 05:14:33.624444444,-41.086555556,41.086555556
108,2026-06-19 05:30:25.440,2026-06-19 05:30:48.440,23.0,0.38333333333333336,0,0,65,2026-06-19 05:30:04.527777778,-20.912222222,20.912222222
109,2026-06-19 05:53:15.809,2026-06-19 05:53:27.809,12.0,0.2,0,0,68,2026-06-19 05:52:53.062222222,-22.746777778,22.746777778
110,2026-06-19 05:53:54.107,2026-06-19 05:54:04.107,10.0,0.16666666666666666,1,1,69,2026-06-19 05:54:04.062222222,9.955222222,9.955222222
111,2026-06-19 05:54:30.143,2026-06-19 05:55:18.143,48.0,0.8,0,0,69,2026-06-19 05:54:04.062222222,-26.080777778,26.080777778
112,2026-06-19 06:07:06.916,2026-06-19 06:07:15.916,9.0,0.15,0,0,73,2026-06-19 06:06:49.062222222,-17.853777778,17.853777778
113,2026-06-19 06:07:43.966,2026-06-19 06:07:52.966,9.0,0.15,0,0,73,2026-06-19 06:06:49.062222222,-54.903777778,54.903777778
114,2026-06-19 06:22:51.420,2026-06-19 06:23:08.420,17.0,0.2833333333333333,0,0,77,2026-06-19 06:22:12.527777778,-38.892222222,38.892222222
115,2026-06-19 09:24:27.415,2026-06-19 09:25:19.415,52.0,0.8666666666666667,0,0,104,2026-06-19 09:24:16.062222222,-11.352777778,11.352777778
116,2026-06-19 09:59:37.178,2026-06-19 10:00:06.178,29.0,0.48333333333333334,0,0,106,2026-06-19 09:58:55.500000000,-41.678,41.678
117,2026-06-19 10:47:58.705,2026-06-19 10:48:34.705,36.0,0.6,0,0,112,2026-06-19 10:47:27.166666667,-31.538333333,31.538333333
118,2026-06-19 11:00:26.633,2026-06-19 11:00:48.633,22.0,0.36666666666666664,0,0,113,2026-06-19 10:59:33.250000000,-53.383,53.383
119,2026-06-19 11:29:28.470,2026-06-19 11:29:59.470,31.000000000000004,0.5166666666666667,0,0,115,2026-06-19 11:28:56.916666667,-31.553333333,31.553333333
120,2026-06-19 12:22:03.263,2026-06-19 12:23:00.263,57.0,0.95,1,1,126,2026-06-19 12:22:23.750000000,20.487,20.487
121,2026-06-19 13:01:30.552,2026-06-19 13:02:16.552,46.0,0.7666666666666667,0,0,136,2026-06-19 13:00:49.166666667,-41.385333333,41.385333333
122,2026-06-19 13:10:13.714,2026-06-19 13:11:25.714,72.0,1.2,0,0,138,2026-06-19 13:09:37.750000000,-35.964,35.964
123,2026-06-19 13:28:04.968,2026-06-19 13:29:55.968,111.0,1.85,2,2,142,2026-06-19 13:28:05.166666667,0.198666667,0.198666667
124,2026-06-19 13:31:32.355,2026-06-19 13:33:15.355,103.0,1.7166666666666666,1,1,146,2026-06-19 13:31:35.166666667,2.811666667,2.811666667
