group_id,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group,seconds_since_previous_group,first_video_in_group,last_video_in_group
62,2026-06-19 05:08:11.188888889,2026-06-19 05:08:20.501111110,9.312222221,2,121.557777778,cortexvpu-01a-005-41884872_2026-06-19_04-07-09_050920.ts,cortexvpu-01a-005-41884872_2026-06-19_04-08-19_878715.ts
63,2026-06-19 05:11:17.251111111,2026-06-19 05:11:21.633333333,4.382222222,1,176.750000001,cortexvpu-01a-005-41884872_2026-06-19_04-10-42_180428.ts,cortexvpu-01a-005-41884872_2026-06-19_04-10-42_180428.ts
64,2026-06-19 05:14:33.624444444,2026-06-19 05:14:49.864444444,16.24,1,191.991111111,cortexvpu-01a-005-41884872_2026-06-19_04-14-15_009330.ts,cortexvpu-01a-005-41884872_2026-06-19_04-14-15_009330.ts
65,2026-06-19 05:30:04.527777778,2026-06-19 05:30:12.937777778,8.41,1,914.663333334,cortexvpu-01a-005-41884872_2026-06-19_04-29-17_198079.ts,cortexvpu-01a-005-41884872_2026-06-19_04-29-17_198079.ts
66,2026-06-19 05:37:42.055555556,2026-06-19 05:37:48.822222222,6.766666666,1,449.117777778,cortexvpu-01a-005-41884872_2026-06-19_04-37-34_180410.ts,cortexvpu-01a-005-41884872_2026-06-19_04-37-34_180410.ts
67,2026-06-19 05:43:57.516666666,2026-06-19 05:44:02.962222222,5.445555556,1,368.694444444,cortexvpu-01a-005-41884872_2026-06-19_04-43-29_313721.ts,cortexvpu-01a-005-41884872_2026-06-19_04-43-29_313721.ts
68,2026-06-19 05:52:53.062222222,2026-06-19 05:53:08.722222222,15.66,1,530.1,cortexvpu-01a-005-41884872_2026-06-19_04-52-51_392940.ts,cortexvpu-01a-005-41884872_2026-06-19_04-52-51_392940.ts
69,2026-06-19 05:54:04.062222222,2026-06-19 05:54:05.512222222,1.45,1,55.34,cortexvpu-01a-005-41884872_2026-06-19_04-54-02_279615.ts,cortexvpu-01a-005-41884872_2026-06-19_04-54-02_279615.ts
70,2026-06-19 05:56:42.141111111,2026-06-19 05:56:55.964444444,13.823333333,1,156.628888889,cortexvpu-01a-005-41884872_2026-06-19_04-56-24_384143.ts,cortexvpu-01a-005-41884872_2026-06-19_04-56-24_384143.ts
71,2026-06-19 05:57:37.610000000,2026-06-19 05:57:40.896666667,3.286666667,1,41.645555556,cortexvpu-01a-005-41884872_2026-06-19_04-57-35_231550.ts,cortexvpu-01a-005-41884872_2026-06-19_04-57-35_231550.ts
72,2026-06-19 06:06:35.997777778,2026-06-19 06:06:42.571111111,6.573333333,1,535.101111111,cortexvpu-01a-005-41884872_2026-06-19_05-05-36_382241.ts,cortexvpu-01a-005-41884872_2026-06-19_05-05-36_382241.ts
73,2026-06-19 06:06:49.062222222,2026-06-19 06:06:56.183333333,7.121111111,1,6.491111111,cortexvpu-01a-005-41884872_2026-06-19_05-06-47_285429.ts,cortexvpu-01a-005-41884872_2026-06-19_05-06-47_285429.ts
74,2026-06-19 06:15:58.665555556,2026-06-19 06:16:01.758888889,3.093333333,1,542.482222223,cortexvpu-01a-005-41884872_2026-06-19_05-14-50_651611.ts,cortexvpu-01a-005-41884872_2026-06-19_05-14-50_651611.ts
75,2026-06-19 06:16:02.061111111,2026-06-19 06:16:11.115555556,9.054444445,1,0.302222222,cortexvpu-01a-005-41884872_2026-06-19_05-15-59_505174.ts,cortexvpu-01a-005-41884872_2026-06-19_05-15-59_505174.ts
76,2026-06-19 06:17:46.411111111,2026-06-19 06:17:51.953333333,5.542222222,1,95.295555555,cortexvpu-01a-005-41884872_2026-06-19_05-17-10_371736.ts,cortexvpu-01a-005-41884872_2026-06-19_05-17-10_371736.ts
77,2026-06-19 06:22:12.527777778,2026-06-19 06:22:20.486666667,7.958888889,1,260.574444445,cortexvpu-01a-005-41884872_2026-06-19_05-21-54_544660.ts,cortexvpu-01a-005-41884872_2026-06-19_05-21-54_544660.ts
78,2026-06-19 06:24:30.822222222,2026-06-19 06:24:41.938888889,11.116666667,1,130.335555555,cortexvpu-01a-005-41884872_2026-06-19_05-24-16_532165.ts,cortexvpu-01a-005-41884872_2026-06-19_05-24-16_532165.ts
79,2026-06-19 06:28:42.295555556,2026-06-19 06:28:52.155555556,9.86,1,240.356666667,cortexvpu-01a-005-41884872_2026-06-19_05-27-49_556459.ts,cortexvpu-01a-005-41884872_2026-06-19_05-27-49_556459.ts
80,2026-06-19 06:29:04.060000000,2026-06-19 06:29:05.993333333,1.933333333,1,11.904444444,cortexvpu-01a-005-41884872_2026-06-19_05-29-00_883909.ts,cortexvpu-01a-005-41884872_2026-06-19_05-29-00_883909.ts
81,2026-06-19 06:31:09.557777778,2026-06-19 06:31:17.903333333,8.345555555,1,123.564444445,cortexvpu-01a-005-41884872_2026-06-19_05-30-20_025811.ts,cortexvpu-01a-005-41884872_2026-06-19_05-30-20_025811.ts
82,2026-06-19 06:31:29.288888889,2026-06-19 06:31:30.932222222,1.643333333,1,11.385555556,cortexvpu-01a-005-41884872_2026-06-19_05-31-28_413875.ts,cortexvpu-01a-005-41884872_2026-06-19_05-31-28_413875.ts
83,2026-06-19 06:31:31.288888889,2026-06-19 06:31:34.865555556,3.576666667,1,0.356666667,cortexvpu-01a-005-41884872_2026-06-19_05-31-30_748389.ts,cortexvpu-01a-005-41884872_2026-06-19_05-31-30_748389.ts
84,2026-06-19 06:39:52.388888889,2026-06-19 06:39:57.576666667,5.187777778,1,497.523333333,cortexvpu-01a-005-41884872_2026-06-19_05-38-56_582628.ts,cortexvpu-01a-005-41884872_2026-06-19_05-38-56_582628.ts
85,2026-06-19 06:40:09.062222222,2026-06-19 06:40:10.383333333,1.321111111,1,11.485555555,cortexvpu-01a-005-41884872_2026-06-19_05-40-07_614492.ts,cortexvpu-01a-005-41884872_2026-06-19_05-40-07_614492.ts
86,2026-06-19 07:26:42.051111111,2026-06-19 07:27:05.380000000,23.328888889,1,2791.667777778,cortexvpu-01a-005-41884872_2026-06-19_06-26-30_058067.ts,cortexvpu-01a-005-41884872_2026-06-19_06-26-30_058067.ts
87,2026-06-19 07:27:19.032222222,2026-06-19 07:27:20.031111111,0.998888889,1,13.652222222,cortexvpu-01a-005-41884872_2026-06-19_06-27-19_064511.ts,cortexvpu-01a-005-41884872_2026-06-19_06-27-19_064511.ts
88,2026-06-19 07:45:10.194444444,2026-06-19 07:45:19.120000000,8.925555556,1,1070.163333333,cortexvpu-01a-005-41884872_2026-06-19_06-44-13_891712.ts,cortexvpu-01a-005-41884872_2026-06-19_06-44-13_891712.ts
89,2026-06-19 07:45:24.032222222,2026-06-19 07:45:25.031111111,0.998888889,1,4.912222222,cortexvpu-01a-005-41884872_2026-06-19_06-45-24_976221.ts,cortexvpu-01a-005-41884872_2026-06-19_06-45-24_976221.ts
90,2026-06-19 08:06:22.560000000,2026-06-19 08:06:43.407777778,20.847777778,1,1257.528888889,cortexvpu-01a-005-41884872_2026-06-19_07-05-35_283867.ts,cortexvpu-01a-005-41884872_2026-06-19_07-05-35_283867.ts
91,2026-06-19 08:08:08.050000000,2026-06-19 08:08:18.908888889,10.858888889,1,84.642222222,cortexvpu-01a-005-41884872_2026-06-19_07-07-55_096132.ts,cortexvpu-01a-005-41884872_2026-06-19_07-07-55_096132.ts
92,2026-06-19 08:43:40.276666667,2026-06-19 08:43:41.372222222,1.095555555,1,2121.367777778,cortexvpu-01a-005-41884872_2026-06-19_07-43-28_490322.ts,cortexvpu-01a-005-41884872_2026-06-19_07-43-28_490322.ts
93,2026-06-19 08:44:00.094444444,2026-06-19 08:44:03.320000000,3.225555556,2,18.722222222,cortexvpu-01a-005-41884872_2026-06-19_07-43-58_496778.ts,cortexvpu-01a-005-41884872_2026-06-19_07-44-01_316667.ts
94,2026-06-19 08:44:10.417777778,2026-06-19 08:44:15.734444444,5.316666666,1,7.097777778,cortexvpu-01a-005-41884872_2026-06-19_07-44-09_316667.ts,cortexvpu-01a-005-41884872_2026-06-19_07-44-09_316667.ts
95,2026-06-19 08:44:19.735555556,2026-06-19 08:44:20.992222222,1.256666666,1,4.001111112,cortexvpu-01a-005-41884872_2026-06-19_07-44-14_496778.ts,cortexvpu-01a-005-41884872_2026-06-19_07-44-14_496778.ts
96,2026-06-19 08:45:24.256666667,2026-06-19 08:45:25.352222222,1.095555555,1,63.264444445,cortexvpu-01a-005-41884872_2026-06-19_07-45-23_207232.ts,cortexvpu-01a-005-41884872_2026-06-19_07-45-23_207232.ts
97,2026-06-19 08:46:03.417777778,2026-06-19 08:46:04.964444444,1.546666666,1,38.065555556,cortexvpu-01a-005-41884872_2026-06-19_07-46-02_503222.ts,cortexvpu-01a-005-41884872_2026-06-19_07-46-02_503222.ts
98,2026-06-19 08:46:20.255555556,2026-06-19 08:46:23.832222222,3.576666666,1,15.291111112,cortexvpu-01a-005-41884872_2026-06-19_07-46-18_509678.ts,cortexvpu-01a-005-41884872_2026-06-19_07-46-18_509678.ts
99,2026-06-19 08:46:55.688888889,2026-06-19 08:46:57.171111111,1.482222222,1,31.856666667,cortexvpu-01a-005-41884872_2026-06-19_07-46-37_333333.ts,cortexvpu-01a-005-41884872_2026-06-19_07-46-37_333333.ts
100,2026-06-19 09:06:47.052222222,2026-06-19 09:06:50.242222222,3.19,1,1189.881111111,cortexvpu-01a-005-41884872_2026-06-19_08-06-36_619355.ts,cortexvpu-01a-005-41884872_2026-06-19_08-06-36_619355.ts
101,2026-06-19 09:07:06.385555556,2026-06-19 09:07:07.996666667,1.611111111,1,16.143333334,cortexvpu-01a-005-41884872_2026-06-19_08-07-05_625811.ts,cortexvpu-01a-005-41884872_2026-06-19_08-07-05_625811.ts
102,2026-06-19 09:15:11.335555556,2026-06-19 09:15:28.091111111,16.755555555,1,483.338888889,cortexvpu-01a-005-41884872_2026-06-19_08-14-25_670967.ts,cortexvpu-01a-005-41884872_2026-06-19_08-14-25_670967.ts
103,2026-06-19 09:23:47.144444444,2026-06-19 09:24:05.221111111,18.076666667,1,499.053333333,cortexvpu-01a-005-41884872_2026-06-19_08-23-03_524141.ts,cortexvpu-01a-005-41884872_2026-06-19_08-23-03_524141.ts
104,2026-06-19 09:24:16.062222222,2026-06-19 09:24:19.993333333,3.931111111,1,10.841111111,cortexvpu-01a-005-41884872_2026-06-19_08-24-14_476679.ts,cortexvpu-01a-005-41884872_2026-06-19_08-24-14_476679.ts
105,2026-06-19 09:44:11.157777778,2026-06-19 09:44:16.281111110,5.123333332,1,1191.164444445,cortexvpu-01a-005-41884872_2026-06-19_08-43-10_715128.ts,cortexvpu-01a-005-41884872_2026-06-19_08-43-10_715128.ts
106,2026-06-19 09:58:55.500000000,2026-06-19 09:59:06.916666667,11.416666667,1,879.21888889,cortexvpu-01a-005-41884872_2026-06-19_08-58-28_840269.ts,cortexvpu-01a-005-41884872_2026-06-19_08-58-28_840269.ts
107,2026-06-19 10:01:08.166666667,2026-06-19 10:01:16.000000000,7.833333333,1,121.25,cortexvpu-01a-005-41884872_2026-06-19_09-00-52_902596.ts,cortexvpu-01a-005-41884872_2026-06-19_09-00-52_902596.ts
108,2026-06-19 10:19:04.000000000,2026-06-19 10:19:09.750000000,5.75,1,1068.0,cortexvpu-01a-005-41884872_2026-06-19_09-18-59_591494.ts,cortexvpu-01a-005-41884872_2026-06-19_09-18-59_591494.ts
109,2026-06-19 10:29:19.583333333,2026-06-19 10:29:31.416666667,11.833333334,1,609.833333333,cortexvpu-01a-005-41884872_2026-06-19_09-29-14_563219.ts,cortexvpu-01a-005-41884872_2026-06-19_09-29-14_563219.ts
110,2026-06-19 10:46:31.500000000,2026-06-19 10:46:36.333333333,4.833333333,2,1020.083333333,cortexvpu-01a-005-41884872_2026-06-19_09-45-54_679689.ts,cortexvpu-01a-005-41884872_2026-06-19_09-46-35_577051.ts
111,2026-06-19 10:46:48.166666667,2026-06-19 10:46:52.333333333,4.166666666,1,11.833333334,cortexvpu-01a-005-41884872_2026-06-19_09-46-48_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_09-46-48_900000.ts
112,2026-06-19 10:47:27.166666667,2026-06-19 10:47:34.416666667,7.25,1,34.833333334,cortexvpu-01a-005-41884872_2026-06-19_09-47-27_645206.ts,cortexvpu-01a-005-41884872_2026-06-19_09-47-27_645206.ts
113,2026-06-19 10:59:33.250000000,2026-06-19 10:59:46.250000000,13.0,1,718.833333333,cortexvpu-01a-005-41884872_2026-06-19_09-59-14_567153.ts,cortexvpu-01a-005-41884872_2026-06-19_09-59-14_567153.ts
114,2026-06-19 11:28:38.916666667,2026-06-19 11:28:42.916666667,4.0,1,1732.666666667,cortexvpu-01a-005-41884872_2026-06-19_10-26-59_681586.ts,cortexvpu-01a-005-41884872_2026-06-19_10-26-59_681586.ts
115,2026-06-19 11:28:56.916666667,2026-06-19 11:28:59.833333333,2.916666666,1,14.0,cortexvpu-01a-005-41884872_2026-06-19_10-28-55_633641.ts,cortexvpu-01a-005-41884872_2026-06-19_10-28-55_633641.ts
116,2026-06-19 11:39:34.916666667,2026-06-19 11:39:39.666666667,4.75,1,635.083333334,cortexvpu-01a-005-41884872_2026-06-19_10-38-35_581824.ts,cortexvpu-01a-005-41884872_2026-06-19_10-38-35_581824.ts
117,2026-06-19 11:48:11.250000000,2026-06-19 11:48:16.500000000,5.25,1,511.583333333,cortexvpu-01a-005-41884872_2026-06-19_10-46-59_672629.ts,cortexvpu-01a-005-41884872_2026-06-19_10-46-59_672629.ts
118,2026-06-19 12:00:22.666666667,2026-06-19 12:00:24.833333333,2.166666666,1,726.166666667,cortexvpu-01a-005-41884872_2026-06-19_10-59-43_033333.ts,cortexvpu-01a-005-41884872_2026-06-19_10-59-43_033333.ts
119,2026-06-19 12:03:11.750000000,2026-06-19 12:03:47.166666667,35.416666667,1,166.916666667,cortexvpu-01a-005-41884872_2026-06-19_11-02-58_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-02-58_900000.ts
120,2026-06-19 12:04:20.166666667,2026-06-19 12:04:32.916666667,12.75,1,33.0,cortexvpu-01a-005-41884872_2026-06-19_11-04-03_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-04-03_900000.ts
121,2026-06-19 12:05:24.250000000,2026-06-19 12:05:26.666666667,2.416666667,1,51.333333333,cortexvpu-01a-005-41884872_2026-06-19_11-05-24_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-05-24_900000.ts
122,2026-06-19 12:05:40.166666667,2026-06-19 12:05:41.833333333,1.666666666,1,13.5,cortexvpu-01a-005-41884872_2026-06-19_11-05-39_050000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-05-39_050000.ts
