Time,Period,Type,Operator,Time type,Time.1,Group,Reason 1,Reason 2,Reason 3,Reason 4,Product,Batch,Bulk,Order,harford_original_time,harford_time,harford_stop_id,harford_duration_minutes,extracted_stop_id,stop_time,stop_end_time,source_detection_count,source_first_video_name,source_last_video_name,matched_extracted_stop,time_difference_seconds,absolute_time_difference_seconds
2026-06-18 22:53:41.983000,22:53:41 - 22:53:57,DB,Jean Cairns,Machine,0:00:15,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-18 22:53:41.983,2026-06-18 22:53:41.983,74,0.25,,,,,,,False,,
2026-06-18 23:57:42.475000,23:57:42 - 23:58:35,DB,Callum Gillan,Machine,0:00:53,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-18 23:57:42.475,2026-06-18 23:57:42.475,75,0.8833333333333333,6.0,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,1.0,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,True,-48.747222222,48.747222222
2026-06-19 00:00:44.902000,00:00:44 - 00:00:56,DB,Callum Gillan,Machine,0:00:12,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 00:00:44.902,2026-06-19 00:00:44.902,76,0.2,7.0,2026-06-19 00:00:16.062222222,2026-06-19 00:00:26.276666667,1.0,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts,True,-28.839777778,28.839777778
2026-06-19 00:01:16.414000,00:01:16 - 00:01:58,DB,Callum Gillan,Machine,0:00:42,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 00:01:16.414,2026-06-19 00:01:16.414,77,0.7,7.0,2026-06-19 00:00:16.062222222,2026-06-19 00:00:26.276666667,1.0,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts,True,-60.351777778,60.351777778
2026-06-19 00:18:34.908000,00:18:34 - 00:18:57,DB,Jean Cairns,Machine,0:00:23,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 00:18:34.908,2026-06-19 00:18:34.908,78,0.38333333333333336,13.0,2026-06-19 00:17:52.062222222,2026-06-19 00:17:53.157777778,1.0,cortexvpu-01a-005-41884872_2026-06-18_23-17-50_223750.ts,cortexvpu-01a-005-41884872_2026-06-18_23-17-50_223750.ts,True,-42.845777778,42.845777778
2026-06-19 00:46:51.894000,00:46:51 - 00:47:47,DB,Jean Cairns,Machine,0:00:56,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 00:46:51.894,2026-06-19 00:46:51.894,79,0.9333333333333333,,,,,,,False,,
2026-06-19 00:51:26.065000,00:51:26 - 00:52:46,DB,Jean Cairns,Machine,0:01:21,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 00:51:26.065,2026-06-19 00:51:26.065,80,1.35,,,,,,,False,,
2026-06-19 01:06:50.913000,01:06:50 - 01:07:34,DB,Jean Cairns,Machine,0:00:44,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 01:06:50.913,2026-06-19 01:06:50.913,81,0.7333333333333333,,,,,,,False,,
2026-06-19 01:27:07.559000,01:27:07 - 01:27:18,DB,Jean Cairns,Machine,0:00:11,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 01:27:07.559,2026-06-19 01:27:07.559,82,0.18333333333333332,,,,,,,False,,
2026-06-19 01:27:37.043000,01:27:37 - 01:27:48,DB,Jean Cairns,Machine,0:00:12,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 01:27:37.043,2026-06-19 01:27:37.043,83,0.2,,,,,,,False,,
2026-06-19 02:17:56.256000,02:17:56 - 02:18:18,DB,Jean Cairns,Machine,0:00:22,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 02:17:56.256,2026-06-19 02:17:56.256,84,0.36666666666666664,,,,,,,False,,
2026-06-19 02:28:27.527000,02:28:27 - 02:28:35,DB,Jean Cairns,Machine,0:00:08,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 02:28:27.527,2026-06-19 02:28:27.527,85,0.13333333333333333,,,,,,,False,,
