harford_stop_id,harford_stop_start_time,harford_stop_end_time,harford_interval_seconds,nearest_extracted_interval_id,nearest_extracted_stop_start_time,nearest_extracted_stop_end_time,nearest_extracted_active_delta_seconds,signed_nearest_extracted_active_delta_seconds,nearest_extracted_relation
107,2026-06-19 05:15:14.711,2026-06-19 05:15:42.711,28.0,20,2026-06-19 05:14:33.624444444,2026-06-19 05:14:49.864444444,24.846555,-24.846555,extracted_before_harford
108,2026-06-19 05:30:25.440,2026-06-19 05:30:48.440,23.0,21,2026-06-19 05:30:04.527777778,2026-06-19 05:30:12.937777778,12.502222,-12.502222,extracted_before_harford
109,2026-06-19 05:53:15.809,2026-06-19 05:53:27.809,12.0,24,2026-06-19 05:56:42.141111111,2026-06-19 05:56:55.964444444,194.332111,194.332111,extracted_after_harford
110,2026-06-19 05:53:54.107,2026-06-19 05:54:04.107,10.0,24,2026-06-19 05:56:42.141111111,2026-06-19 05:56:55.964444444,158.034111,158.034111,extracted_after_harford
111,2026-06-19 05:54:30.143,2026-06-19 05:55:18.143,48.0,24,2026-06-19 05:56:42.141111111,2026-06-19 05:56:55.964444444,83.998111,83.998111,extracted_after_harford
112,2026-06-19 06:07:06.916,2026-06-19 06:07:15.916,9.0,25,2026-06-19 06:06:35.997777778,2026-06-19 06:06:42.571111111,24.344888,-24.344888,extracted_before_harford
113,2026-06-19 06:07:43.966,2026-06-19 06:07:52.966,9.0,25,2026-06-19 06:06:35.997777778,2026-06-19 06:06:42.571111111,61.394888,-61.394888,extracted_before_harford
114,2026-06-19 06:22:51.420,2026-06-19 06:23:08.420,17.0,27,2026-06-19 06:24:30.822222222,2026-06-19 06:24:41.938888889,82.402222,82.402222,extracted_after_harford
115,2026-06-19 09:24:27.415,2026-06-19 09:25:19.415,52.0,35,2026-06-19 09:23:47.144444444,2026-06-19 09:24:05.221111111,22.193888,-22.193888,extracted_before_harford
116,2026-06-19 09:59:37.178,2026-06-19 10:00:06.178,29.0,36,2026-06-19 10:19:04.000000000,2026-06-19 10:19:09.750000000,1137.822,1137.822,extracted_after_harford
117,2026-06-19 10:47:58.705,2026-06-19 10:48:34.705,36.0,38,2026-06-19 10:59:33.250000000,2026-06-19 10:59:46.250000000,658.545,658.545,extracted_after_harford
