data_present,start,end,valid_cycles,state,video_name,video_path,source,status,reason,n_cycles,cycle_frequency_hz,mean_cycle_frames,cycle_cv,reference_cycle_count,reference_cycle_frequency_hz,reference_mean_cycle_frames,cycle_frequency_ratio_to_reference,matches_reference_frequency,duration_s,fps,n_frames,detection_second,stoppage_context_clip_path,phase_error,inferred_stop_time,previous_video_name,next_video_name,gap_seconds_after_previous_video
y,2026-06-19_17-35-13,2026-06-19_17-35-42,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-35-13_190082.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-35-13_190082.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-35-13_190082.ts,ok,,7,0.5668016194331984,105.85714285714286,0.0078690308971527,5.0,0.5675655222864062,273.4,0.9986540710751236,y,29.416666666666668,60.0,1765,1.2333333333333334,,,,,,
y,2026-06-19_17-35-41,2026-06-19_17-37-38,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333.ts,ok,,9,0.5666316894018888,105.88888888888889,0.0163235563336381,5.0,0.5675655222864062,273.4,0.998354669464848,y,116.58333333333331,60.0,6995,0.7,,,,,,
y,2026-06-19_17-37-36,2026-06-19_17-39-32,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-37-36_223894.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-37-36_223894.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-37-36_223894.ts,ok,,9,0.5654450261780104,106.11111111111111,0.0093657297486019,5.0,0.5675655222864062,273.4,0.9962638743455496,y,116.66666666666669,60.0,7000,1.0666666666666669,,,,,,
y,2026-06-19_17-39-32,2026-06-19_17-40-13,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-39-32_294019.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-39-32_294019.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-39-32_294019.ts,ok,,12,0.5669291338582677,105.83333333333331,0.0035213668936671,5.0,0.5675655222864062,273.4,0.9988787401574802,y,41.36666666666667,60.0,2482,0.1333333333333333,,,,,,
y,2026-06-19_17-40-13,2026-06-19_17-40-52,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-40-13_666667.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-40-13_666667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-40-13_666667.ts,ok,,11,0.5670103092783505,105.8181818181818,0.0319375090983942,5.0,0.5675655222864062,273.4,0.9990217640320732,y,38.71666666666667,60.0,2323,1.3833333333333333,,,,,,
y,2026-06-19_17-40-49,2026-06-19_17-41-08,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-40-49_666667.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-40-49_666667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-40-49_666667.ts,ok,,9,0.5672268907563025,105.77777777777776,0.0298215747194205,5.0,0.5675655222864062,273.4,0.9994033613445376,y,18.73333333333333,60.0,1124,0.6,,,,,,
y,2026-06-19_17-41-05,2026-06-19_17-41-15,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-41-05_666667.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-41-05_666667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-41-05_666667.ts,ok,,4,0.5529953917050692,108.5,0.0744492830472562,5.0,0.5675655222864062,273.4,0.9743287250384024,y,9.733333333333333,60.0,584,0.45,,,,,,
y,2026-06-19_17-41-12,2026-06-19_17-41-55,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-41-12_666667.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-41-12_666667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-41-12_666667.ts,ok,,12,0.5669291338582677,105.83333333333331,0.0176068344683359,5.0,0.5675655222864062,273.4,0.9988787401574802,y,42.78333333333333,60.0,2567,0.3833333333333333,,,,,,
y,2026-06-19_17-41-52,2026-06-19_17-42-31,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-41-52_666667.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-41-52_666667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-41-52_666667.ts,ok,,11,0.5670103092783505,105.8181818181818,0.0036448803153601,5.0,0.5675655222864062,273.4,0.9990217640320732,y,38.81666666666667,60.0,2329,1.1333333333333333,,,,,,
y,2026-06-19_17-42-28,2026-06-19_17-43-52,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-42-28_666667.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-42-28_666667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-42-28_666667.ts,ok,,3,0.5660377358490566,106.0,0.02037968773065,5.0,0.5675655222864062,273.4,0.9973081761006288,y,83.88333333333334,60.0,5033,0.5666666666666667,,,,,,
y,2026-06-19_17-43-49,2026-06-19_17-44-28,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_17-43-49_666667.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-43-49_666667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-43-49_666667.ts,ok,,11,0.5560235888795282,107.9090909090909,0.0538120283825554,5.0,0.5675655222864062,273.4,0.979664139286717,y,38.91666666666666,60.0,2335,0.4333333333333333,,,,,,
