filename,source,processed_at
cortexvpu-01a-005-41884872_2026-06-19_15-24-45_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-24-45_933333.ts,2026-07-02T20:12:41.803196
cortexvpu-01a-005-41884872_2026-06-19_15-26-28_433333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-26-28_433333.ts,2026-07-02T20:13:08.954765
cortexvpu-01a-005-41884872_2026-06-19_15-28-03_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-28-03_933333.ts,2026-07-02T20:13:27.105258
cortexvpu-01a-005-41884872_2026-06-19_15-29-29_450000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-29-29_450000.ts,2026-07-02T20:13:59.761926
cortexvpu-01a-005-41884872_2026-06-19_15-31-23_588934.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-31-23_588934.ts,2026-07-02T20:14:16.529714
cortexvpu-01a-005-41884872_2026-06-19_15-33-19_090601.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-33-19_090601.ts,2026-07-02T20:14:44.669078
cortexvpu-01a-005-41884872_2026-06-19_15-35-00_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-35-00_933333.ts,2026-07-02T20:15:05.950549
cortexvpu-01a-005-41884872_2026-06-19_15-36-54_054821.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-36-54_054821.ts,2026-07-02T20:15:31.891506
cortexvpu-01a-005-41884872_2026-06-19_15-37-43_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-37-43_933333.ts,2026-07-02T20:15:48.399989
cortexvpu-01a-005-41884872_2026-06-19_15-39-37_091643.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-39-37_091643.ts,2026-07-02T20:15:59.528873
cortexvpu-01a-005-41884872_2026-06-19_15-39-41_466667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-39-41_466667.ts,2026-07-02T20:16:04.274057
cortexvpu-01a-005-41884872_2026-06-19_15-39-47_466667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-39-47_466667.ts,2026-07-02T20:16:29.429520
cortexvpu-01a-005-41884872_2026-06-19_15-40-44_000000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-40-44_000000.ts,2026-07-02T20:16:36.474750
cortexvpu-01a-005-41884872_2026-06-19_15-40-54_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-40-54_933333.ts,2026-07-02T20:17:03.193577
cortexvpu-01a-005-41884872_2026-06-19_15-42-08_000000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-42-08_000000.ts,2026-07-02T20:17:20.403699
cortexvpu-01a-005-41884872_2026-06-19_15-42-37_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-42-37_933333.ts,2026-07-02T20:17:32.820153
cortexvpu-01a-005-41884872_2026-06-19_15-42-43_466667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-42-43_466667.ts,2026-07-02T20:17:49.730103
cortexvpu-01a-005-41884872_2026-06-19_15-44-20_000000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-44-20_000000.ts,2026-07-02T20:18:10.260531
cortexvpu-01a-005-41884872_2026-06-19_15-44-47_466667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-44-47_466667.ts,2026-07-02T20:18:19.858770
cortexvpu-01a-005-41884872_2026-06-19_15-45-02_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-45-02_933333.ts,2026-07-02T20:18:49.456205
cortexvpu-01a-005-41884872_2026-06-19_15-46-56_059667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-46-56_059667.ts,2026-07-02T20:19:06.988964
